Запрос: 'ошибкаааааа'
processed_page_0.txt : 0.0
processed_page_1.txt : 0.0
processed_page_10.txt : 0.0
processed_page_100.txt : 0.0
processed_page_11.txt : 0.0
processed_page_12.txt : 0.0
processed_page_13.txt : 0.0
processed_page_14.txt : 0.0
processed_page_15.txt : 0.0
processed_page_16.txt : 0.0
processed_page_17.txt : 0.0
processed_page_18.txt : 0.0

Запрос: 'ошибкаааааа племя'
processed_page_6.txt : 0.4855382
processed_page_45.txt : 0.0647714
processed_page_24.txt : 0.0518263
processed_page_38.txt : 0.0392512
processed_page_37.txt : 0.0274337
processed_page_76.txt : 0.0256799
processed_page_75.txt : 0.0169334
processed_page_87.txt : 0.0167477
processed_page_0.txt : 0.0
processed_page_1.txt : 0.0
processed_page_10.txt : 0.0
processed_page_100.txt : 0.0

Запрос: 'ошибкаааааа племя французский'
processed_page_6.txt : 0.3775655
processed_page_93.txt : 0.0600844
processed_page_45.txt : 0.0503677
processed_page_24.txt : 0.0403013
processed_page_38.txt : 0.0305226
processed_page_97.txt : 0.0293806
processed_page_56.txt : 0.0287412
processed_page_4.txt : 0.024975
processed_page_37.txt : 0.0213331
processed_page_76.txt : 0.0199693
processed_page_5.txt : 0.0179922
processed_page_85.txt : 0.0140373

